unit_number,total_rows,anomalies,anomaly_pct
1,192,16,8.333333333333332
2,287,38,13.240418118466899
3,179,16,8.938547486033519
4,189,16,8.465608465608465
5,269,38,14.12639405204461
6,188,30,15.957446808510639
7,259,17,6.563706563706563
8,150,21,14.000000000000002
9,201,41,20.398009950248756
10,222,15,6.756756756756757
11,240,21,8.75
12,170,21,12.352941176470589
13,163,14,8.588957055214724
14,180,18,10.0
15,207,33,15.942028985507244
16,209,25,11.961722488038278
17,276,23,8.333333333333332
18,195,23,11.794871794871794
19,158,25,15.822784810126583
20,234,18,7.6923076923076925
21,195,14,7.179487179487179
22,202,25,12.376237623762377
23,168,16,9.523809523809524
24,147,12,8.16326530612245
25,230,19,8.26086956521739
26,199,16,8.040201005025125
27,156,14,8.974358974358974
28,165,20,12.121212121212121
29,163,17,10.429447852760736
30,194,24,12.371134020618557
31,234,19,8.11965811965812
32,191,22,11.518324607329843
33,200,28,14.000000000000002
34,195,15,7.6923076923076925
35,181,12,6.629834254143646
36,158,18,11.39240506329114
37,170,19,11.176470588235295
38,194,18,9.278350515463918
39,128,19,14.84375
40,188,19,10.106382978723403
41,216,16,7.4074074074074066
42,196,11,5.612244897959184
43,207,21,10.144927536231885
44,192,13,6.770833333333333
45,158,18,11.39240506329114
46,256,20,7.8125
47,214,20,9.345794392523365
48,231,33,14.285714285714285
49,215,21,9.767441860465116
50,198,19,9.595959595959595
51,213,32,15.023474178403756
52,213,18,8.450704225352112
53,195,14,7.179487179487179
54,257,25,9.72762645914397
55,193,18,9.32642487046632
56,275,28,10.181818181818182
57,137,13,9.48905109489051
58,147,12,8.16326530612245
59,231,28,12.121212121212121
60,172,14,8.13953488372093
61,185,34,18.37837837837838
62,180,22,12.222222222222221
63,174,13,7.471264367816093
64,283,25,8.8339222614841
65,153,12,7.8431372549019605
66,202,18,8.91089108910891
67,313,22,7.0287539936102235
68,199,19,9.547738693467336
69,362,29,8.011049723756907
70,137,10,7.2992700729927
71,208,18,8.653846153846153
72,213,23,10.7981220657277
73,213,36,16.901408450704224
74,166,11,6.626506024096386
75,229,36,15.72052401746725
76,210,22,10.476190476190476
77,154,12,7.792207792207792
78,231,30,12.987012987012985
79,199,21,10.552763819095476
80,185,19,10.27027027027027
81,240,20,8.333333333333332
82,214,32,14.953271028037381
83,293,38,12.969283276450511
84,267,20,7.490636704119851
85,188,14,7.446808510638298
86,278,24,8.633093525179856
87,178,17,9.550561797752808
88,213,21,9.859154929577464
89,217,15,6.912442396313365
90,154,12,7.792207792207792
91,135,19,14.074074074074074
92,341,26,7.624633431085044
93,155,9,5.806451612903226
94,258,23,8.914728682170542
95,283,33,11.66077738515901
96,336,21,6.25
97,202,20,9.900990099009901
98,156,12,7.6923076923076925
99,185,11,5.9459459459459465
100,200,15,7.5
